Number,Relevance,Publication No.,Title,Application Date,Filing Date,Publication Date,Assignee,URL
137,0.38071065989847713,US11292184B2,Extrusion additive manufacturing for veneer applications,2019-12-17,2019-12-17,2022-04-05,GOODRICH CORP,https://patents.google.com/patent/US11292184B2
138,0.38071065989847713,US11296157B2,Display device,2020-12-04,2020-12-04,2022-04-05,LG DISPLAY CO LTD,https://patents.google.com/patent/US11296157B2
139,0.3802528117846123,US11259867B2,High-density electrode-based medical device system,2016-10-07,2016-10-07,2022-03-01,KARDIUM INC,https://patents.google.com/patent/US11259867B2
140,0.3779337115556882,US11309457B2,Semiconductor light-emitting element,2017-01-05,2017-01-05,2022-04-19,SEMICON LIGHT CO LTD,https://patents.google.com/patent/US11309457B2
141,0.3770777346471584,US11259590B2,Heated boot cover,2019-03-20,2019-03-20,2022-03-01,BOILER ROOM OUTDOORS LLC,https://patents.google.com/patent/US11259590B2
142,0.3752065293122325,US11221519B2,Light emitting module,2020-08-10,2020-08-10,2022-01-11,NICHIA CORP,https://patents.google.com/patent/US11221519B2
143,0.3729371951826416,US11213817B2,"Digital microfluidic dilution apparatus, systems, and related methods",2019-08-05,2019-08-05,2022-01-04,ABBOTT LABORATORIES,https://patents.google.com/patent/US11213817B2
144,0.3637901861252115,US11213920B2,Method and arrangement for building metallic objects by solid freeform fabrication,2016-07-08,2016-07-08,2022-01-04,NORSK TITANIUM AS,https://patents.google.com/patent/US11213920B2
145,0.3604060913705584,US11213816B2,Method for fabricating an apparatus comprising at least one microfluidic channel and an apparatus comprising a microfluidic channel,2018-01-22,2018-01-22,2022-01-04,NOKIA TECHNOLOGIES OY,https://patents.google.com/patent/US11213816B2
146,0.35822633621976707,US11296060B2,LED pixel device having chip stack structure,2018-06-04,2018-06-04,2022-04-05,LUMENS CO LTD,https://patents.google.com/patent/US11296060B2
147,0.3570219966159052,US11274369B2,Thin film deposition method,2019-09-09,2019-09-09,2022-03-15,ASM IP HOLDING BV,https://patents.google.com/patent/US11274369B2
148,0.3564745695232408,US11297914B1,Umbrella with heater,2020-12-22,2020-12-22,2022-04-12,,https://patents.google.com/patent/US11297914B1
149,0.3560764407285757,US11251109B2,Filling materials and methods of filling through holes of a substrate,2017-11-17,2017-11-17,2022-02-15,SAMTEC INC,https://patents.google.com/patent/US11251109B2
150,0.35470289638698116,US11225638B2,"System, device and method for electroporation of cells",2017-04-04,2017-04-04,2022-01-18,CYTEQUEST INC,https://patents.google.com/patent/US11225638B2
151,0.35194585448392557,US11268374B2,Monitoring and mapping system of the space-time distribution of formation fluids in a reservoir and a completion and production plant of a well for the extraction of formation fluids,2018-09-21,2018-09-21,2022-03-08,ENI SPA,https://patents.google.com/patent/US11268374B2
152,0.3519359012640589,US11291834B2,Subcutaneous implantation medical device with multiple parasternal-anterior electrodes,2020-08-03,2020-08-03,2022-04-05,PACESETTER INC,https://patents.google.com/patent/US11291834B2
153,0.347904847218075,US11224988B2,"Method for producing a wooden composite material board, in particular an MDF or HDF board",2018-07-12,2018-07-12,2022-01-18,SWISS KRONO TEC AG,https://patents.google.com/patent/US11224988B2
154,0.34517766497461927,US11225057B2,"Bonded article of thin glass on support substrate, preparation method and use thereof",2015-12-21,2015-12-21,2022-01-18,SCHOTT GLASS TECHNOLOGIES CO LTD,https://patents.google.com/patent/US11225057B2
155,0.3444809395839554,US11296081B2,Integration of silicon channel nanostructures and silicon-germanium channel nanostructures,2020-06-24,2020-06-24,2022-04-05,TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LTD,https://patents.google.com/patent/US11296081B2
156,0.3414750671842341,US11296327B2,"Positive electrode active material, positive electrode, lithium-ion secondary battery, and method of producing positive electrode active material",2019-03-13,2019-03-13,2022-04-05,TOYOTA JIDOSHA KABUSHIKI KAISHA,https://patents.google.com/patent/US11296327B2
157,0.3401015228426396,US11260361B2,Synthesis device,2019-05-14,2019-05-14,2022-03-01,IMEC VZW,https://patents.google.com/patent/US11260361B2
158,0.3370956504429183,US11251422B2,"Method of producing positive electrode material for lithium-ion secondary batteries, positive electrode material for lithium-ion secondary batteries, positive electrode for lithium-ion secondary batteries, and lithium-ion secondary battery",2019-08-19,2019-08-19,2022-02-15,SUMITOMO OSAKA CEMENT CO LTD,https://patents.google.com/patent/US11251422B2
159,0.3368269135065194,US11296360B2,Battery core for a sandwich component,2018-10-05,2018-10-05,2022-04-05,AIRBUS OPERATIONS GMBH,https://patents.google.com/patent/US11296360B2
160,0.3335722106101324,US11269224B2,"Optical device, display apparatus and method for driving same",2018-02-06,2018-02-06,2022-03-08,BOE TECHNOLOGY GROUP CO LTD,https://patents.google.com/patent/US11269224B2
161,0.33090474768587635,US11255022B2,"Hole forming method, measuring apparatus and chip set",2020-06-18,2020-06-18,2022-02-22,HITACHI LTD,https://patents.google.com/patent/US11255022B2
162,0.3282571912013536,US11227976B2,,2020-04-13,2020-04-13,2022-01-18,NIKKISO CO LTD,https://patents.google.com/patent/US11227976B2
163,0.3255996814969642,US11227997B1,Planar resistive random-access memory (RRAM) device with a shared top electrode,2020-07-07,2020-07-07,2022-01-18,INTERNATIONAL BUSINESS MACHINES CORP,https://patents.google.com/patent/US11227997B1
164,0.3252712252413656,US11284937B2,Flexible RF ablation needle,2019-11-04,2019-11-04,2022-03-29,GYRUS ACMI INC,https://patents.google.com/patent/US11284937B2
165,0.32481337712750075,US11269226B2,Display device,2020-09-17,2020-09-17,2022-03-08,JAPAN DISPLAY INC,https://patents.google.com/patent/US11269226B2
166,0.32119040509604857,US11251357B2,Actuator device based on an electroactive polymer,2017-01-18,2017-01-18,2022-02-15,KONINKLIJKE PHILIPS NV,https://patents.google.com/patent/US11251357B2
167,0.31662187717726686,US11269461B2,"Touch panel, driving method thereof, and display device",2019-02-28,2019-02-28,2022-03-08,BOE TECHNOLOGY GROUP CO LTD,https://patents.google.com/patent/US11269461B2
168,0.3079526226734349,US11251829B2,Radio frequency module,2020-09-16,2020-09-16,2022-02-15,MURATA MANUFACTURING CO LTD,https://patents.google.com/patent/US11251829B2
169,0.30691748780730566,US11309513B2,"Anode, light emitting device, display substrate and method of manufacturing the same, and display device",2019-11-04,2019-11-04,2022-04-19,BOE TECHNOLOGY GROUP CO LTD,https://patents.google.com/patent/US11309513B2
170,0.29669553100427987,US11296332B2,"Cell, cell stack device, module and module containing device",2020-05-19,2020-05-19,2022-04-05,KYOCERA CORP,https://patents.google.com/patent/US11296332B2
171,0.2959888523937494,US11296391B2,Secondary battery and assembly therefor,2020-02-03,2020-02-03,2022-04-05,CONTEMPORARY AMPEREX TECHNOLOGY CO LTD,https://patents.google.com/patent/US11296391B2
172,0.29441624365482233,US11287709B2,Active matrix substrate and liquid crystal display device,2020-02-06,2020-02-06,2022-03-29,PANASONIC LIQUID CRYSTAL DISPLAY CO LTD,https://patents.google.com/patent/US11287709B2
173,0.29272419627749574,US11213409B2,Conductive human interfaces,2019-05-03,2019-05-03,2022-01-04,WILLOWWOOD GLOBAL LLC,https://patents.google.com/patent/US11213409B2
174,0.2915298098935006,US11295893B2,Self-aligning capacitor electrode assembly having improved breakdown voltage,2019-02-15,2019-02-15,2022-04-05,KYOCERA AVX COMPONENTS CORP,https://patents.google.com/patent/US11295893B2
175,0.2880163232805813,US11259549B2,Process for fast and homogeneously heating a liquid product and apparatus for such process,2019-08-28,2019-08-28,2022-03-01,STICHTING WAGENINGEN RESEARCH,https://patents.google.com/patent/US11259549B2
176,0.28721011247138445,US11251251B2,Display device,2020-08-03,2020-08-03,2022-02-15,SAMSUNG DISPLAY CO LTD,https://patents.google.com/patent/US11251251B2
177,0.27729670548422414,US11287333B2,"Pressure sensing unit and pressure sensor, pressure sensing device",2019-05-17,2019-05-17,2022-03-29,"HEFEI XINSHENG OPTOELECTRONICS TECHNOLOGY CO LTD, BOE TECHNOLOGY GROUP CO LTD",https://patents.google.com/patent/US11287333B2
178,0.2635413556285458,US11274985B2,Capacitive pressure sensor,2019-11-19,2019-11-19,2022-03-15,"HYUNDAI MOTOR CO, KIA CORP",https://patents.google.com/patent/US11274985B2
179,0.2606151089877575,US11309470B2,Array substrate and fabrication method thereof,2019-11-11,2019-11-11,2022-04-19,SHENZHEN CHINA STAR OPTOELECTRONICS SEMICONDUCTOR DISPLAY TECHNOLOGY CO LTD,https://patents.google.com/patent/US11309470B2
180,0.25980889817856073,US11251502B2,Electrode assembly and method for manufacturing the same,2018-01-29,2018-01-29,2022-02-15,LG ENERGY SOLUTION LTD,https://patents.google.com/patent/US11251502B2
181,0.2515974917885936,USRE49015E,Negative capacitance FinFET device and manufacturing method of the same,2019-06-05,2019-06-05,2022-04-05,SAMSUNG ELECTRONICS CO LTD,https://patents.google.com/patent/USRE49015E
182,0.2508111874191301,US11275263B2,Partition wall pattern film and method of manufacturing the same,2019-03-14,2019-03-14,2022-03-15,LG CHEM LTD,https://patents.google.com/patent/US11275263B2
183,0.2485617597292724,US11295662B2,Display device,2021-03-03,2021-03-03,2022-04-05,SAMSUNG DISPLAY CO LTD,https://patents.google.com/patent/US11295662B2
184,0.24450084602368868,US11225127B2,Air blower device of air-conditioning system for vehicle having electric dust collector and controlling method thereof,2019-07-31,2019-07-31,2022-01-18,HANON SYSTEMS,https://patents.google.com/patent/US11225127B2
185,0.24243057629143028,US11296114B2,Semiconductor memory device and method for manufacturing the same,2021-06-01,2021-06-01,2022-04-05,KIOXIA CORP,https://patents.google.com/patent/US11296114B2
186,0.23327361401413357,US11285401B2,Atmospheric water generator for extracting water droplets from ambient air,2019-01-17,2019-01-17,2022-03-29,NATIONAL CHIAO TUNG UNIVERSITY,https://patents.google.com/patent/US11285401B2
187,0.22916293420921666,US11296433B1,Shelf with electrical connectivity,2020-05-28,2020-05-28,2022-04-05,SUB-ZERO GROUP INC,https://patents.google.com/patent/US11296433B1
188,0.2286553199960187,US11296388B2,Secondary battery,2019-05-31,2019-05-31,2022-04-05,FDK CORP,https://patents.google.com/patent/US11296388B2
189,0.22307156365084105,US11309886B2,"Current blocking element, current blocking element assembly, product having these mounted thereon, and current controlling method in product having these mounted thereon",2019-06-13,2019-06-13,2022-04-19,MURATA MANUFACTURING CO LTD,https://patents.google.com/patent/US11309886B2
190,0.21788593610032847,US11260165B2,"Methods, systems, and apparatuses for delivery of electrolysis products",2018-12-13,2018-12-13,2022-03-01,RM2 TECHNOLOGY LLC,https://patents.google.com/patent/US11260165B2
191,0.21780631034139544,US11285307B2,Drug delivery integrated circuit (IC) and system,2017-02-17,2017-02-17,2022-03-29,UNIVERSITY OF FLORIDA RESEARCH FOUNDATION INC,https://patents.google.com/patent/US11285307B2
192,0.18882253408977803,US11251791B2,"Microfluid detection device, system and method, processing device and storage medium",2019-06-28,2019-06-28,2022-02-15,BOE TECHNOLOGY GROUP CO LTD,https://patents.google.com/patent/US11251791B2
193,0.18839454563551308,US11340747B1,Touch sensor and touch display module,2021-03-05,2021-03-05,2022-05-24,TPK ADVANCED SOLUTIONS INC,https://patents.google.com/patent/US11340747B1
194,0.18785707176271524,US11270643B2,Non-rectangular display and driving method thereof,2020-01-15,2020-01-15,2022-03-08,SAMSUNG DISPLAY CO LTD,https://patents.google.com/patent/US11270643B2
195,0.18294018114860155,US11296297B2,Display device having an inorganic layer covering an end of a first electrode,2020-05-20,2020-05-20,2022-04-05,SAMSUNG DISPLAY CO LTD,https://patents.google.com/patent/US11296297B2
196,0.17397233004877077,US11232734B2,"Shift register unit, driving method, gate driving circuit and display device",2019-09-25,2019-09-25,2022-01-25,BOE TECHNOLOGY GROUP CO LTD,https://patents.google.com/patent/US11232734B2
197,0.16862745098039214,US11221710B2,"Shift register unit, driving method, gate driving circuit and display device",2019-02-28,2019-02-28,2022-01-11,"BEIJING BOE DISPLAY TECHNOLOGY CO LTD, BOE TECHNOLOGY GROUP CO LTD",https://patents.google.com/patent/US11221710B2
